"time","lat","lng","speed","altitude"
"1557613213","42.60161","-73.84103","0.0","64.92"
"1557613274","42.60163","-73.84105","0.0","61.87"
"1557613337","42.60161","-73.84105","0.0","68.88"
"1557613396","42.6016","-73.84105","0.0","67.97"
"1557613456","42.60168","-73.84108","1.0","67.97"
"1557613517","42.60171","-73.84108","0.0","70.71"
"1557613573","42.60172","-73.84108","0.0","62.79"
"1557613635","42.60171","-73.84108","0.0","60.96"
"1557613694","42.60172","-73.84111","0.0","59.74"
"1557613757","42.60172","-73.84113","0.0","60.96"
"1557613816","42.60171","-73.84112","0.0","63.7"
"1557613877","42.60172","-73.84113","0.0","63.7"
"1557613938","42.60126","-73.83785","16.0","195.99"
"1557613996","42.6","-73.83502","17.0","581.86"
"1557614058","42.59747","-73.83204","22.0","1068.93"
"1557614115","42.59464","-73.82899","25.0","1510.89"
"1557614176","42.59221","-73.82689","19.0","1833.68"
"1557614235","42.5879","-73.82297","35.0","2097.94"
"1557614296","42.5842","-73.8135","52.0","2355.8"
"1557614356","42.58175","-73.80242","57.0","2633.78"
"1557614417","42.57931","-73.78906","66.0","2918.76"
"1557614534","42.57447","-73.76052","74.0","3440.89"
"1557614597","42.57472","-73.74352","80.0","3715.82"
"1557614657","42.57481","-73.72567","88.0","3991.66"
"1557614714","42.57522","-73.70594","102.0","4281.83"
"1557614773","42.57629","-73.68503","105.0","4544.87"
"1557614833","42.57829","-73.66263","111.0","4821.94"
"1557614896","42.58059","-73.63971","108.0","5128.87"
"1557614957","42.58222","-73.61617","114.0","5426.66"
"1557615015","42.58387","-73.59392","114.0","5710.73"
"1557615074","42.58506","-73.57119","114.0","6004.86"
"1557615133","42.58618","-73.548","116.0","6299.91"
"1557615197","42.58389","-73.5223","119.0","6619.65"
"1557615257","42.5827","-73.49496","134.0","6899.76"
"1557615313","42.58237","-73.46927","135.0","7173.77"
"1557615373","42.5819","-73.43979","145.0","7467.9"
"1557615437","42.58242","-73.40835","145.0","7800.75"
"1557615496","42.58301","-73.3794","145.0","8125.66"
"1557615555","42.58389","-73.35002","147.0","8445.7"
"1557615614","42.58394","-73.31941","153.0","8758.73"
"1557615675","42.58367","-73.28533","165.0","9131.81"
"1557615736","42.58276","-73.25021","170.0","9469.83"
"1557615794","42.58078","-73.21434","183.0","9879.79"
"1557615855","42.57721","-73.17758","179.0","10282.73"
"1557615915","42.57377","-73.13802","196.0","10631.73"
"1557615975","42.56903","-73.09714","203.0","10980.72"
"1557616034","42.56268","-73.0551","214.0","11310.82"
"1557616094","42.55814","-73.01668","191.0","11655.86"
"1557616154","42.5566","-72.97691","196.0","12053.62"
"1557616213","42.55947","-72.93648","203.0","12440.72"
"1557616273","42.56307","-72.89182","221.0","12799.77"
"1557616337","42.56167","-72.84906","197.0","13163.7"
"1557616397","42.5603","-72.81804","153.0","13469.72"
"1557616457","42.56093","-72.79062","135.0","13809.57"
"1557616512","42.56201","-72.76686","128.0","14126.57"
"1557616577","42.5645","-72.74037","121.0","14458.8"
"1557616633","42.56495","-72.71413","138.0","14768.78"
"1557616695","42.56283","-72.6904","114.0","15080.59"
"1557616755","42.56224","-72.66896","105.0","15381.73"
"1557616815","42.56134","-72.64648","111.0","15731.64"
"1557616873","42.56031","-72.62607","104.0","16051.68"
"1557616933","42.55737","-72.6072","95.0","16385.74"
"1557616997","42.55494","-72.58346","110.0","16754.55"
"1557617055","42.54941","-72.56954","80.0","17105.68"
"1557617115","42.54696","-72.56195","41.0","17467.78"
"1557617173","42.54844","-72.55419","41.0","17807.64"
"1557617235","42.54862","-72.54622","38.0","18128.59"
"1557617296","42.55027","-72.54066","29.0","18439.49"
"1557617354","42.55302","-72.53326","42.0","18745.5"
"1557617413","42.55377","-72.52313","51.0","19096.63"
"1557617474","42.55264","-72.51497","40.0","19458.74"
"1557617536","42.55221","-72.51136","17.0","19855.59"
"1557617596","42.55388","-72.50654","26.0","20238.72"
"1557617657","42.55553","-72.50127","28.0","20583.45"
"1557617716","42.55679","-72.49467","34.0","20910.5"
"1557617774","42.55452","-72.4897","30.0","21226.58"
"1557617834","42.55205","-72.48972","16.0","21554.54"
"1557617897","42.55264","-72.48851","7.0","21895.61"
"1557617956","42.55243","-72.48719","7.0","22204.68"
"1557618017","42.55351","-72.48574","10.0","22541.48"
"1557618073","42.55282","-72.48155","23.0","22871.58"
"1557618136","42.55182","-72.47697","22.0","23233.68"
"1557618197","42.55302","-72.47557","10.0","23579.63"
"1557618253","42.55362","-72.47406","9.0","23899.67"
"1557618312","42.55402","-72.47243","9.0","24245.62"
"1557618377","42.55463","-72.47108","7.0","24610.47"
"1557618434","42.55465","-72.46752","18.0","24939.65"
"1557618496","42.55383","-72.46582","10.0","25292.61"
"1557618556","42.55533","-72.46412","13.0","25648.62"
"1557618613","42.55713","-72.46131","19.0","25976.58"
"1557618674","42.55696","-72.45721","20.0","26339.6"
"1557618734","42.55742","-72.45432","15.0","26701.39"
"1557618794","42.55617","-72.45174","15.0","27048.56"
"1557618854","42.55682","-72.44912","14.0","27384.45"
"1557618917","42.55882","-72.44715","16.0","27761.49"
"1557618976","42.55994","-72.44211","26.0","28107.44"
"1557619037","42.5624","-72.43625","33.0","28456.43"
"1557619096","42.5645","-72.43093","30.0","28810.61"
