---------------------------------------------------------------------------------------------------------
time , latd , long , t_utc , time , altd , eps , epx , epv , ept , speed , climb , track , mode , satlt
date
1557451269.66, 42.295516667, -71.302643333, 2019-05-10T01:21:09.000Z, 2019-05-10T01:21:09.000Z, 105.5, 73.13, 13.508, 22.08, 0.005, 0.242, 0.0, 167.22, 3, 7
1557451274.66, 42.29546, -71.302633333, 2019-05-10T01:21:14.000Z, 1557451274.0, 105.0, 73.13, 13.508, 22.08, 0.005, 0.473, -0.1, 178.87, 3, 7
1557451279.67, 42.295413333, -71.302628333, 2019-05-10T01:21:19.000Z, 2019-05-10T01:21:19.000Z, 104.5, 73.13, 13.508, 22.08, 0.005, 0.499, 0.0, 182.95, 3, 8
1557451284.67, 42.295388333, -71.302631667, 2019-05-10T01:21:24.000Z, 1557451284.0, 104.3, 73.13, 13.508, 22.08, 0.005, 0.355, 0.0, 193.19, 3, 8
1557451289.68, 42.295385, -71.30263, 2019-05-10T01:21:29.000Z, 2019-05-10T01:21:29.000Z, 104.0, 73.13, 13.508, 22.08, 0.005, 0.206, 0.0, 178.63, 3, 8
1557451294.68, 42.295381667, -71.302628333, 2019-05-10T01:21:34.000Z, 1557451294.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.036, 0.0, 236.64, 3, 8
1557451299.69, 42.295381667, -71.302633333, 2019-05-10T01:21:39.000Z, 2019-05-10T01:21:39.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.098, 0.0, 308.7, 3, 8
1557451304.7, 42.295383333, -71.302633333, 2019-05-10T01:21:44.000Z, 1557451304.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.067, 0.0, 57.34, 3, 8
1557451309.7, 42.295385, -71.302628333, 2019-05-10T01:21:49.000Z, 2019-05-10T01:21:49.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.113, 0.0, 326.74, 3, 8
1557451314.71, 42.295391667, -71.302631667, 2019-05-10T01:21:54.000Z, 1557451314.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.159, 0.0, 333.72, 3, 8
1557451319.71, 42.295398333, -71.302641667, 2019-05-10T01:21:59.000Z, 2019-05-10T01:21:59.000Z, 103.9, 73.13, 13.508, 22.08, 0.005, 0.159, 0.0, 313.73, 3, 8
1557451324.72, 42.295403333, -71.302645, 2019-05-10T01:22:04.000Z, 1557451324.0, 103.9, 73.13, 13.508, 22.08, 0.005, 0.221, 0.0, 357.79, 3, 8
