


Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1556931389.357412, -112.66530718041412, 104.87122602893061, -47.23372983000002, -32.017081600000004, -25.17106102, -113.86109453857895, 104.61008829255832, 125.69579210530686, 350.5008202796135, -113.49158875841103, 105.00218374242225)
(1556931390.480931, -113.72764143943674, 105.29372495248506, -48.34638837000002, -32.72435292, -25.74032818, -114.22608609509362, 104.73736176051436, 125.79685964644035, 353.57184350259394, -113.74648754860709, 105.10298419885763)
(1556931391.604475, -113.09076378771796, 104.99168188754427, -50.30474274000002, -33.90534525, -26.771827809999998, -114.32823445866822, 104.41755690473231, 126.47660109547304, 353.779847930514, -113.55888121423541, 104.99061288526171)
(1556931392.818285, -113.17891572779273, 104.86535763407022, -51.340487940000024, -34.59584205, -27.28970041, -114.05294130014292, 104.41003862233505, 127.24166439435929, 353.7972493409568, -113.4289823595736, 104.8888817926941)
(1556931393.941699, -113.06152049312614, 104.95356488026962, -52.42715604000002, -35.2944144, -27.84165881, -113.89275605593285, 104.4567254370958, 126.14718436864959, 353.7965283373379, -113.3288447743291, 104.88252191648161)
(1556931395.065065, -112.66002113082398, 104.76616286505134, -53.45307884000002, -36.0185952, -28.40203681, -113.56348422086754, 104.35271557386912, 124.01790920275424, 352.6373349856446, -113.03557904416805, 104.77143698097461)
(1556931396.188943, -112.38832228784312, 104.43031005796475, -54.45682452000002, -36.72813956, -28.98178647, -113.25988533305288, 104.1154545203265, 126.81326729165028, 353.20739643498337, -112.728907377217, 104.55138391239056)
(1556931397.312296, -112.84455408665369, 104.75106339109892, -55.52645224000002, -37.452726080000005, -29.54247842, -113.43853767321336, 104.20698523478995, 126.1890192216937, 353.137016511151, -112.84063158986602, 104.60020703122898)
(1556931398.435974, -112.98245615654918, 104.80837716488867, -56.60478474000002, -38.194618840000004, -30.1290913, -113.59622176321486, 104.27106328884918, 125.0942832561793, 352.88661881567214, -112.97022814246529, 104.65009268777237)
(1556931399.559408, -112.79350648877922, 104.66846367761505, -57.61436604000002, -38.910817540000004, -30.6813409, -113.51842511855347, 104.2230240421087, 124.14291133659636, 352.9330209378258, -112.90167738287512, 104.61909590895293)
(1556931400.682956, -113.60811866760638, 105.30663607941977, -58.61521288000002, -39.6355687, -31.233532259999997, -113.97257998398521, 104.58329080049535, 126.18634274044369, 354.42220519913775, -113.28384341111217, 104.93292222044174)
(1556931401.806388, -113.00129273758462, 104.76101674337524, -59.65903874000002, -40.34295482, -31.794


Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1557189409.415922, 90.53173287697395, -91.71835648656162, -0.9822379000000002, -0.6659240000000001, -0.5327392000000001, 53.92614456618436, -55.29738349193697, 300.6466510530717, 57.161795678595276, 28.51611222114947, -30.015503196127767)
(1557189410.536634, 79.14241636203757, -58.007589577868174, -2.0076076300000003, -1.3353802700000001, -1.10050591, 68.64575975169629, -57.191289651495694, 300.02813195045997, 43.626783288288905, 50.55144863840073, -42.883579509920956)
(1557189411.657574, 89.86634055629803, -89.57028817725015, -2.6518876300000005, -1.7541622700000001, -1.4548599100000001, 81.12039623445733, -76.78620156694836, 301.0444237736213, 52.18147027167153, 67.08608484529853, -63.190088996802245)
(1557189412.734151, 89.5974609243603, -88.73010295334765, -3.3148488800000004, -2.17845747, -1.8102071400000002, 85.94145054839912, -84.12226047878794, 300.9204163137792, 55.02161485758892, 76.24451759844074, -74.25619957742845)
(1557189413.809983, 89.6794042226779, -88.91321700806901, -4.13375746, -3.0173394300000003, -2.3794484700000003, 87.85665932096639, -87.33238718035658, 301.3957346211764, 51.94829222258808, 82.57565011213403, -82.02690225168803)
(1557189414.952867, 89.68933730271634, -88.99238763475773, -4.78921093, -3.4543084100000003, -2.7204974300000004, 88.69408472201636, -88.50317504499728, 300.09757963752156, 55.77200295431647, 85.41713749754916, -85.40640237909031)
(1557189416.028954, 89.46454177473346, -88.27733638404047, -5.45095593, -3.8884131300000004, -3.0698987900000003, 88.89166095364662, -88.54131373642319, 300.1270598167786, 56.82631673875664, 86.81246943941396, -86.92078923210941)
(1557189417.104693, 89.15222788833577, -87.2736874532277, -6.09699993, -4.30295803, -3.4467577900000004, 88.7895835144601, -87.9465559265059, 300.4806916563929, 55.214157899437794, 87.47808002430999, -87.34682809318026)
(1557189418.181662, 89.3767612288463, -88.0201919381845, -6.7637586800000005, -4.72434956, -3.7828042, 88.87518664309184, -88.15929414551306, 300.27832607020827, 56.00994989515626, 87.9420609455099, -87.91224192895795)
(1557189419.257281, 89.55482106786332, -88.57147210449293, -7.4259710000000005, -5.15505676, -4.132753800000001, 89.01808236995473, -88.57888380090098, 300.25643716352926, 55.6089873546278, 88.29233641079975, -88.47771528180144)
(1557189420.334977, 89.73247377519247, -89.15332443924618, -8.10046419, -5.56931242, -4.4726558800000005, 89.17691993709737, -89.0892504479081, 301.0896811194598, 57.12677597032267, 88.56277710530478, -89.04016771681191)
(1557189421.410841, 89.8216487183427, -89.43829313296291, -8.76242794, -6.01944777, -4.806285610000001, 89.29897170584456, -89.47873019894098, 300.51625889231565, 58.290525578097814, 88.76611515110861, -89.50629147430213)
(1557189422.486607, 89.86644441000757, -89.5734868945641, -9.425465, -6.45422617, -5.17584725, 89.37424050434237, -89.70949557631485, 300.0044000616514, 58.10699335183316, 88.91118286998488, -89.82339613419916)
(1557189423.564444, 89.59995915069085, -88.72381841579019, -10.07520528, -6.86963389, -5.52734609, 89.24977558015146, -89.28425236800007, 300.4978290786478, 56.38693099664025, 88.88983768344016, -89.63344508749415)
(1557189424.640576, 90.08896929582686, -90.28791453930688, -10.721555180000001, -7.29346989, -5.87701079, 89.4947518495567, -90.05598407078415, 300.49376836962944, 56.885152401367236, 89.0879357881635, -90.18837898783192)
(1557189425.716297, 89.46454177473346, -88.22395420185089, -11.411808380000002, -7.72355073, -6.22213739, 89.20052452466275, -89.1287984854242, 299.17887178922854, 58.58787228146772, 88.9168403244767, -89.63838025193725)
(1557189426.792273, 89.6871564011706, -89.01466451295138, -12.077070880000003, -8.17060713, -6.51485289, 89.22639865056746, -89.2391406619405, 300.5775320820759, 57.74474752386097, 88.93001533768242, -89.65940347951972)
(1557189427.868395, 89.27618588056448, -88.10057944152692, -12.778896830000003, -8.599203130000001, -6.84165734, 88.97554060856567, -88.72744232969234, 300.1188762008204, 58.42351607209365, 88.74720296086988, -89.26848153210298)
(1557189428.946195, 89.37869210600667, -87.97523337153487, -13.467560680000002, -9.027584580000001, -7.21039074, 88.94196596703027, -88.44746953479786, 299.93379745481616, 57.32053414408129, 88.6988459683121, -88.98168862635552)
(1557189430.022524, 89.33224801575828, -87.87365663038099, -14.116947110000002, -9.456930980000001, -7.55386786, 88.91638062426708, -88.27492035214775, 300.54097092181206, 57.1434841718021, 88.676215763295, -88.76953651274067)
(1557189431.099292, 89.51257742702825, -88.40885818558641, -15.160890710000002, -10.17253748, -8.14319086, 88.85652126592377, -88.64152565221094, 300.8318064031103, 56.22965331559404, 88.65380941080281, -88.98129788812084)
(1557189432.219884, 89.5980884015628, -88.6947508427333, -17.144200710000003, -11.44185588, -9.174512060000001, 88.5081375473072, -89.18118812652435, 300.4328455853128, 53.57285517288483, 88.58006710378989, -89.34783690092624)
(1557189433.446632, 89.70061339169857, -88.83973623511054, -18.165665770000004, -12.0918791, -9.706349240000002, 88.81503702994202, -89.23632627967606, 300.50693257947603, 55.46144739437325, 88.81015674229563, -89.38975704109887)
(1557189434.56729, 89.77809722679218, -89.2909284837528, -18.810582700000005, -12.54169511, -10.069453730000001, 89.13490637605213, -89.4490140061221, 299.65552917675984, 56.39488875664894, 89.01104791202444, -89.58029476105247)
(1557189435.644656, 89.36423817733271, -87.5480247390735, -19.454075200000005, -12.985110109999999, -10.42094123, 89.01510845682049, -88.48578644589293, 300.50693257947603, 54.29504282443444, 88.92125652034164, -88.92330035660352)
