245881,, 400,, 0,, 25.00  ;;--;;  245881,, 400,, 0,, 25.00
245886,, 400,, 0,, 25.00  ;;--;;  245886,, 400,, 0,, 25.00
245892,, 400,, 0,, 25.00  ;;--;;  245892,, 400,, 0,, 25.00
245897,, 400,, 0,, 25.00  ;;--;;  245897,, 400,, 0,, 25.00
245902,, 400,, 0,, 25.00  ;;--;;  245902,, 400,, 0,, 25.00
245907,, 400,, 0,, 25.00  ;;--;;  245907,, 400,, 0,, 25.00
245912,, 400,, 0,, 25.00  ;;--;;  245912,, 400,, 0,, 25.00
245917,, 400,, 0,, 25.00  ;;--;;  245917,, 400,, 0,, 25.00
245922,, 400,, 0,, 25.00  ;;--;;  245922,, 400,, 0,, 25.00
245927,, 400,, 0,, 25.00  ;;--;;  245927,, 400,, 0,, 25.00
245932,, 400,, 0,, 25.00  ;;--;;  245932,, 400,, 0,, 25.00
245937,, 400,, 0,, 25.00  ;;--;;  245937,, 400,, 0,, 25.00
245942,, 400,, 0,, 25.00  ;;--;;  245942,, 400,, 0,, 25.00
245947,, 400,, 0,, 25.00  ;;--;;  245947,, 400,, 0,, 25.00
245952,, 400,, 0,, 25.00  ;;--;;  245952,, 400,, 0,, 25.00
245957,, 400,, 0,, 25.00  ;;--;;  245957,, 400,, 0,, 25.00
245962,, 400,, 0,, 25.00  ;;--;;  245962,, 400,, 0,, 25.00
245967,, 405,, 0,, 25.00  ;;--;;  245967,, 405,, 0,, 25.00
245972,, 400,, 0,, 25.00  ;;--;;  245972,, 400,, 0,, 25.00
245977,, 405,, 0,, 25.00  ;;--;;  245977,, 405,, 0,, 25.00
245982,, 400,, 0,, 25.00  ;;--;;  245982,, 400,, 0,, 25.00
245987,, 400,, 0,, 25.00  ;;--;;  245987,, 400,, 0,, 25.00
245992,, 405,, 0,, 25.00  ;;--;;  245992,, 405,, 0,, 25.00
245997,, 405,, 0,, 25.00  ;;--;;  245997,, 405,, 0,, 25.00
246003,, 405,, 0,, 25.00  ;;--;;  246003,, 405,, 0,, 25.00
246008,, 405,, 0,, 25.00  ;;--;;  246008,, 405,, 0,, 25.00
246013,, 405,, 0,, 25.00  ;;--;;  246013,, 405,, 0,, 25.00
246018,, 405,, 0,, 25.00  ;;--;;  246018,, 405,, 0,, 25.00
246023,, 405,, 0,, 25.00  ;;--;;  246023,, 405,, 0,, 25.00
246028,, 405,, 0,, 25.00  ;;--;;  246028,, 405,, 0,, 25.00
246033,, 407,, 1,, 25.00  ;;--;;  246033,, 407,, 1,, 25.00
246038,, 405,, 0,, 25.00  ;;--;;  246038,, 405,, 0,, 25.00
246043,, 405,, 0,, 25.00  ;;--;;  246043,, 405,, 0,, 25.00
246048,, 405,, 0,, 25.00  ;;--;;  246048,, 405,, 0,, 25.00
246053,, 405,, 0,, 25.00  ;;--;;  246053,, 405,, 0,, 25.00
246058,, 407,, 1,, 25.00  ;;--;;  246058,, 407,, 1,, 25.00
246063,, 405,, 0,, 25.00  ;;--;;  246063,, 405,, 0,, 25.00
246068,, 400,, 0,, 24.64  ;;--;;  246068,, 400,, 0,, 24.64
246073,, 400,, 0,, 25.00  ;;--;;  246073,, 400,, 0,, 25.00
246078,, 400,, 0,, 25.00  ;;--;;  246078,, 400,, 0,, 25.00
246083,, 400,, 0,, 25.00  ;;--;;  246083,, 400,, 0,, 25.00
246088,, 400,, 0,, 25.00  ;;--;;  246088,, 400,, 0,, 25.00
246093,, 400,, 0,, 25.00  ;;--;;  246093,, 400,, 0,, 25.00
246098,, 403,, 0,, 25.00  ;;--;;  246098,, 403,, 0,, 25.00
246103,, 403,, 0,, 25.00  ;;--;;  246103,, 403,, 0,, 25.00
246109,, 403,, 0,, 25.00  ;;--;;  246109,, 403,, 0,, 25.00
246114,, 403,, 0,, 25.00  ;;--;;  246114,, 403,, 0,, 25.00
246119,, 403,, 0,, 25.00  ;;--;;  246119,, 403,, 0,, 25.00
246124,, 403,, 0,, 25.00  ;;--;;  246124,, 403,, 0,, 25.00
246129,, 403,, 0,, 25.00  ;;--;;  246129,, 403,, 0,, 25.00
246134,, 400,, 0,, 25.00  ;;--;;  246134,, 400,, 0,, 25.00
246139,, 403,, 0,, 25.00  ;;--;;  246139,, 403,, 0,, 25.00
246144,, 403,, 0,, 25.00  ;;--;;  246144,, 403,, 0,, 25.00
246149,, 403,, 0,, 25.00  ;;--;;  246149,, 403,, 0,, 25.00
246154,, 400,, 0,, 25.00  ;;--;;  246154,, 400,, 0,, 25.00
246159,, 403,, 0,, 25.00  ;;--;;  246159,, 403,, 0,, 25.00
246164,, 403,, 0,, 25.00  ;;--;;  246164,, 403,, 0,, 25.00
246169,, 403,, 0,, 25.00  ;;--;;  246169,, 403,, 0,, 25.00
246174,, 403,, 0,, 25.00  ;;--;;  246174,, 403,, 0,, 25.00
246179,, 403,, 0,, 25.00  ;;--;;  246179,, 403,, 0,, 25.00
246245,, 403,, 0,, 25.00  ;;--;;  246245,, 403,, 0,, 25.00
246250,, 400,, 0,, 25.36  ;;--;;  246250,, 400,, 0,, 25.36
246255,, 400,, 0,, 25.36  ;;--;;  246255,, 400,, 0,, 25.36
246260,, 400,, 0,, 25.36  ;;--;;  246260,, 400,, 0,, 25.36
246265,, 400,, 0,, 25.36  ;;--;;  246265,, 400,, 0,, 25.36
246270,, 400,, 0,, 25.36  ;;--;;  246270,, 400,, 0,, 25.36
246275,, 403,, 0,, 25.36  ;;--;;  246275,, 403,, 0,, 25.36
246280,, 403,, 0,, 25.36  ;;--;;  246280,, 403,, 0,, 25.36
246285,, 403,, 0,, 25.36  ;;--;;  246285,, 403,, 0,, 25.36
246290,, 403,, 0,, 25.36  ;;--;;  246290,, 403,, 0,, 25.36
246295,, 400,, 0,, 25.36  ;;--;;  246295,, 400,, 0,, 25.36
246300,, 400,, 0,, 25.36  ;;--;;  246300,, 400,, 0,, 25.36
246305,, 400,, 0,, 25.36  ;;--;;  246305,, 400,, 0,, 25.36
246310,, 400,, 0,, 25.36  ;;--;;  246310,, 400,, 0,, 25.36
246315,, 403,, 0,, 25.36  ;;--;;  246315,, 403,, 0,, 25.36
246320,, 403,, 0,, 25.36  ;;--;;  246320,, 403,, 0,, 25.36
246325,, 403,, 0,, 25.36  ;;--;;  246325,, 403,, 0,, 25.36
246330,, 400,, 0,, 25.36  ;;--;;  246330,, 400,, 0,, 25.36
246335,, 400,, 0,, 25.36  ;;--;;  246335,, 400,, 0,, 25.36
246340,, 403,, 0,, 25.36  ;;--;;  246340,, 403,, 0,, 25.36
246346,, 400,, 0,, 25.36  ;;--;;  246346,, 400,, 0,, 25.36
246351,, 403,, 0,, 25.36  ;;--;;  246351,, 403,, 0,, 25.36
246356,, 403,, 0,, 25.36  ;;--;;  246356,, 403,, 0,, 25.36
246361,, 403,, 0,, 25.36  ;;--;;  246361,, 403,, 0,, 25.36
246366,, 400,, 0,, 25.36  ;;--;;  246366,, 400,, 0,, 25.36
246371,, 403,, 0,, 25.36  ;;--;;  246371,, 403,, 0,, 25.36
246376,, 406,, 0,, 25.36  ;;--;;  246376,, 406,, 0,, 25.36
246381,, 400,, 0,, 25.00  ;;--;;  246381,, 400,, 0,, 25.00
246386,, 400,, 0,, 25.36  ;;--;;  246386,, 400,, 0,, 25.36
246391,, 400,, 0,, 25.00  ;;--;;  246391,, 400,, 0,, 25.00
246396,, 403,, 0,, 25.00  ;;--;;  246396,, 403,, 0,, 25.00
