Time, CO2 (ppm), TVOC, Temp (C)
1557241808.18 , 407 , 1 , 24.5449802774
1557241813.23 , 407 , 1 , 24.5449802774
1557241818.27 , 407 , 1 , 24.5449802774
1557241823.32 , 407 , 1 , 24.5449802774
1557241828.37 , 400 , 0 , 24.5449802774
1557241833.42 , 407 , 1 , 24.5449802774
1557241838.46 , 407 , 1 , 24.5449802774
1557241843.51 , 400 , 0 , 24.5449802774
1557241848.58 , 400 , 0 , 24.5449802774
1557241853.62 , 407 , 1 , 24.5449802774
1557241858.69 , 407 , 1 , 24.5449802774
1557241863.74 , 407 , 1 , 24.5449802774
1557241868.78 , 400 , 0 , 24.5449802774
1557241873.85 , 400 , 0 , 24.5449802774
1557241878.89 , 405 , 0 , 24.5449802774
1557241883.92 , 407 , 1 , 24.5449802774
1557241888.95 , 407 , 1 , 24.5449802774
1557241893.99 , 407 , 1 , 24.5449802774
1557241899.12 , 414 , 2 , 24.5449802774
1557241904.15 , 414 , 2 , 24.5449802774
1557241909.18 , 414 , 2 , 24.5449802774
1557241914.22 , 414 , 2 , 24.5449802774
1557241919.27 , 407 , 1 , 24.5449802774
1557241924.31 , 414 , 2 , 24.5449802774
1557241929.36 , 414 , 2 , 24.5449802774
1557241934.41 , 414 , 2 , 24.5449802774
1557241939.46 , 416 , 2 , 24.5449802774
1557241944.51 , 416 , 2 , 24.5449802774
1557241949.59 , 416 , 2 , 24.5449802774
1557241954.64 , 405 , 0 , 24.5449802774
1557241959.68 , 407 , 1 , 24.5449802774
1557241964.73 , 405 , 0 , 24.5449802774
1557241969.77 , 407 , 1 , 24.5449802774
1557241974.82 , 405 , 0 , 24.5449802774
1557241979.87 , 407 , 1 , 24.5449802774
1557241984.92 , 405 , 0 , 24.5449802774
1557241989.96 , 414 , 2 , 24.5449802774
1557241995.01 , 414 , 2 , 25.0
1557242000.06 , 407 , 1 , 24.5449802774
1557242005.11 , 414 , 2 , 24.5449802774
1557242010.15 , 407 , 1 , 25.0
1557242015.2 , 407 , 1 , 25.0
1557242020.25 , 407 , 1 , 24.5449802774
1557242025.3 , 407 , 1 , 25.0
1557242030.33 , 414 , 2 , 24.5449802774
1557242035.37 , 414 , 2 , 24.5449802774
1557242040.42 , 414 , 2 , 24.5449802774
1557242045.47 , 407 , 1 , 24.5449802774
1557242050.52 , 414 , 2 , 25.0
1557242055.56 , 414 , 2 , 24.5449802774
1557242060.6 , 414 , 2 , 24.5449802774
1557242065.67 , 414 , 2 , 24.5449802774
1557242070.72 , 416 , 2 , 24.5449802774
1557242075.77 , 421 , 3 , 25.0
1557242080.82 , 421 , 3 , 25.0
1557242085.87 , 421 , 3 , 24.5449802774
1557242090.98 , 421 , 3 , 25.0
1557242096.03 , 416 , 2 , 24.5449802774
1557242101.09 , 416 , 2 , 25.0
1557242106.14 , 421 , 3 , 25.0
1557242111.21 , 421 , 3 , 24.5449802774
1557242116.27 , 421 , 3 , 25.0
1557242121.34 , 421 , 3 , 25.0
1557242126.38 , 432 , 4 , 25.0
1557242131.43 , 432 , 4 , 25.0
1557242136.48 , 432 , 4 , 25.0
1557242141.53 , 435 , 5 , 25.0
