
Found LSM9DS1
Time, AccXangle, AccYangle, gyroXangle, gyroYangle, gyroZangle, CFangleX, CFangleY, heading, tiltCompensatedHeading, kalmanX, kalmanY
(1557542462.648046, -108.71495947237518, 179.08019341449668, -44.189543580000006, -31.347056580000004, -24.654684880000005, -109.29575581979056, 178.69714804710082, 86.11835217520532, 275.67721791087934, -109.04616829291943, 183.1614351243501)
(1557542463.723729, -108.76844877201219, -179.60667053987248, -45.13191942, -32.04542439, -25.201599430000005, -109.35632192712355, -36.56449022908316, 87.33595066727156, 273.53243207121466, -109.0082446669237, 5.1144083308109884)
(1557542464.84419, -108.44831475002572, -149.76848024435176, -46.18544567, -32.76182224, -25.749433080000006, -109.23292812086486, -104.77344337824432, 86.62282584015186, 258.58517744035737, -108.86961701487427, -75.98892700592783)
(1557542465.964827, -109.16521562118349, 150.73949228918127, -47.24071317, -33.47940414, -26.323498600000008, -109.61440762105603, 48.24728526221103, 86.24077697488755, 290.1646564559842, -109.1546317469744, 35.58934138577885)
(1557542467.085417, -108.54189461323921, 179.46826865272305, -49.04210598, -34.7682055, -27.260808680000007, -109.69145694036592, 126.46435475251823, 86.75331369167705, 274.6132903062783, -108.97483042628647, 118.98344957754848)
(1557542468.294732, -108.38155201525508, 179.33068798755085, -50.06210573, -35.46787475, -27.82560193000001, -109.31351388529941, 157.90428699353782, 85.9601361713532, 275.7621676313197, -108.75654527086824, 152.0323078358648)
(1557542469.415241, -108.54164567324555, 149.34933254731655, -51.10713433, -36.184225, -28.38182683000001, -109.2684043980671, 152.48477422580504, 86.98240862398144, 289.30063881606145, -108.74563180025787, 152.41913389464247)
(1557542470.535743, -108.84542785680014, -150.11571216976333, -51.72985279, -36.625982539999995, -28.74907105000001, -109.26370585730693, -29.252220627535976, 87.40157632033696, 257.3588308212854, -108.83830939099929, 13.27000013475407)
(1557542471.611664, -108.40821349812703, 179.33068798755085, -52.72757819, -37.361593639999995, -29.31557615000001, -109.14950060179899, 95.60328010151612, 87.4204380726914, 273.77817934533044, -108.69552067641632, 93.341203763309)
(1557542472.732938, -108.87455068345373, 179.60935377273304, -53.760596330000006, -38.10434221999999, -29.87050325000001, -109.39773790679183, 145.70982487224626, 86.62282584015186, 274.87147197405915, -108.86305574924496, 136.9808215842671)
